,Strain,Fluor1 mean
408,acrAB,592.4235294117647
409,acrAB,569.1923076923077
410,acrAB,577.44
411,acrAB,569.9461538461538
412,acrAB,602.4333333333333
413,acrAB,586.8571428571429
414,acrAB,583.0370370370371
415,acrAB,595.3225806451613
416,acrAB,620.4545454545455
417,acrAB,603.4027777777778
418,acrAB,596.433734939759
419,acrAB,584.6438356164383
420,acrAB,570.3921568627451
421,acrAB,628.969387755102
422,acrAB,626.7368421052631
423,acrAB,642.7272727272727
424,acrAB,629.4242424242424
425,acrAB,614.0769230769231
426,acrAB,633.2151898734177
427,acrAB,594.3548387096774
428,acrAB,564.3023255813954
429,acrAB,612.2608695652174
430,acrAB,578.9659090909091
431,acrAB,596.8688524590164
432,acrAB,576.4625407166124
433,acrAB,584.3653846153846
434,acrAB,588.0481927710844
435,acrAB,576.8372093023256
436,acrAB,644.640350877193
437,acrAB,614.2247191011236
438,acrAB,594.8947368421053
439,acrAB,579.7738095238095
440,acrAB,578.9444444444445
441,acrAB,590.0677966101695
442,acrAB,569.4636363636364
443,acrAB,593.9666666666667
444,acrAB,591.3669724770642
445,acrAB,596.9343065693431
446,acrAB,597.0555555555555
447,acrAB,596.0384615384615
448,acrAB,561.8390804597701
449,acrAB,569.047619047619
450,acrAB,573.0782608695653
451,acrAB,571.0420168067227
452,acrAB,590.7444444444444
453,acrAB,659.4825174825174
454,acrAB,594.7596153846154
455,acrAB,594.5714285714286
456,acrAB,557.1666666666666
457,acrAB,628.8965517241379
458,acrAB,678.3061224489796
459,acrAB,571.3715846994536
460,acrAB,661.2987012987013
461,acrAB,565.2451923076923
462,acrAB,592.0
463,acrAB,599.1136363636364
464,acrAB,623.6627906976744
465,acrAB,660.9866666666667
466,acrAB,635.2577319587629
467,acrAB,548.7051282051282
468,acrAB,643.9117647058823
469,acrAB,601.3921568627451
470,acrAB,601.6363636363636
471,acrAB,590.276119402985
472,acrAB,596.0
473,acrAB,655.6035087719298
474,acrAB,646.6704545454545
475,acrAB,570.8367346938776
476,acrAB,617.3300970873786
477,acrAB,587.1481481481482
478,acrAB,570.4196428571429
479,acrAB,644.016129032258
480,acrAB,626.2
481,acrAB,608.2409638554217
482,acrAB,586.5858585858585
483,acrAB,643.2477064220184
484,acrAB,606.0253164556962
485,acrAB,598.1274509803922
486,acrAB,580.8611111111111
487,acrAB,579.4134615384615
488,acrAB,584.1176470588235
489,acrAB,591.4485981308411
490,acrAB,567.448275862069
491,acrAB,574.6218487394958
492,acrAB,592.3048780487804
493,acrAB,622.7154471544716
494,acrAB,591.4594594594595
495,acrAB,589.75
496,acrAB,564.6904761904761
497,acrAB,603.6868686868687
498,acrAB,578.9916317991632
499,acrAB,574.1117647058824
500,acrAB,572.0645161290323
501,acrAB,582.8904109589041
502,acrAB,611.3743842364532
503,acrAB,625.768115942029
504,acrAB,617.2739726027397
505,acrAB,619.1355932203389
506,acrAB,608.3723404255319
507,acrAB,593.7868852459017
508,acrAB,578.7450980392157
509,acrAB,581.1470588235294
510,acrAB,563.3303571428571
511,acrAB,598.4949494949495
512,acrAB,624.7974683544304
513,acrAB,641.13
514,acrAB,601.8023255813954
515,acrAB,574.9032258064516
516,acrAB,583.074074074074
517,acrAB,599.7115384615385
518,acrAB,583.433628318584
519,acrAB,587.8888888888889
520,acrAB,575.68
521,acrAB,592.9152542372881
522,acrAB,612.3783783783783
523,acrAB,567.1914893617021
524,acrAB,608.7272727272727
525,acrAB,657.3713080168776
526,acrAB,593.7177419354839
527,acrAB,602.9782608695652
528,acrAB,563.109243697479
529,acrAB,575.265306122449
530,acrAB,572.2971698113207
531,acrAB,625.112676056338
532,acrAB,622.7424242424242
533,acrAB,583.9462365591398
534,acrAB,567.5
535,acrAB,609.6896551724138
536,acrAB,613.0208333333334
537,acrAB,557.7786259541984
538,acrAB,570.0
539,acrAB,634.4444444444445
540,acrAB,574.8125
541,acrAB,595.9803921568628
542,acrAB,617.95
543,acrAB,796.1555555555556
544,acrAB,626.9047619047619
545,acrAB,590.4571428571429
546,acrAB,618.9818181818182
547,acrAB,649.1186440677966
548,acrAB,652.295918367347
549,acrAB,600.4489795918367
550,acrAB,617.5409836065573
551,acrAB,675.1578947368421
552,acrAB,617.5198412698413
553,acrAB,588.6666666666666
554,acrAB,813.9859154929577
555,acrAB,549.9397590361446
556,acrAB,639.031914893617
557,acrAB,596.8216216216216
558,acrAB,615.1294117647059
559,acrAB,601.5268817204301
560,acrAB,624.2278481012659
561,acrAB,613.7173913043479
562,acrAB,632.6688741721854
563,acrAB,654.1212121212121
564,acrAB,625.6018518518518
565,acrAB,600.5395683453237
566,acrAB,616.4634146341464
567,acrAB,566.2596153846154
568,acrAB,605.6575342465753
569,acrAB,637.4646464646464
570,acrAB,594.5576923076923
571,acrAB,653.5147058823529
572,acrAB,632.16
573,acrAB,636.3148148148148
