,Cell ID,Region num birth,Region num death,Cell birth time,Cell death time,Cell age,Old pole age,Error frame,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Region score birth,Region score death,X position birth,Y position birth,Fluor1 sum,Fluor1 mean,Fluor2 sum,Fluor2 mean,Num of neighbors,Region gray val,Focus1(1) long axis birth,Focus1(1) short axis birth,Focus1(1) score birth,Focus1(1) intensity birth,Focus1(2) long axis birth,Focus1(2) short axis birth,Focus1(2) score birth,Focus1(2) intensity birth,Focus1(3) long axis birth,Focus1(3) short axis birth,Focus1(3) score birth,Focus1(3) intensity birth,Focus1(4) long axis birth,Focus1(4) short axis birth,Focus1(4) score birth,Focus1(4) intensity birth,Focus1(5) long axis birth,Focus1(5) short axis birth,Focus1(5) score birth,Focus1(5) intensity birth,Focus1(1) long axis pole align,Focus1(1) long axis norm pole align,Focus1(1) long axis normalized,Focus1(2) long axis normalized,Focus1(3) long axis normalized,Focus1(4) long axis normalized,Focus1(5) long axis normalized,Focus1(1) short axis normalized,Focus1(2) short axis normalized,Focus1(3) short axis normalized,Focus1(4) short axis normalized,Focus1(5) short axis normalized,Focus1(1) gaussianFitWidth,Focus1(2) gaussianFitWidth,Focus1(3) gaussianFitWidth,Mother ID,Daughter1 ID,Daughter2 ID,dL max,dL min,L death / L birth,Fluor1 sum death,Fluor1 mean death,Fluor2 sum death,Fluor2 mean death,Focus1(1) long axis death,Focus1(1) short axis death,Focus1(1) score death,Focus1(1) intensity death,Focus1(2) long axis death,Focus1(2) short axis death,Focus1(2) score death,Focus1(2) intensity death,Focus1(2) long axis death,Focus1(3) short axis death,Focus1(3) score death,Focus1(3) intensity death,Focus1(4) long axis death,Focus1(4) short axis death,Focus1(4) score death,Focus1(4) intensity death,Focus1(5) long axis death,Focus1(5) short axis death,Focus1(5) score death,Focus1(5) intensity death,Focus1(1) gaussian fit width death,Focus1(2) gaussian fit width death,Focus1(3) gaussian fit width death,Long axis/Short axis birth,Long axis/Short axis death,Neck width,Maximum width,Cell dist to edge,Growth Rate,Time of Death,Strain
10,11.0,11.0,11.0,1.0,1.0,0.0,,,0.0,26.0,26.0,5.833768809833178,5.833768809833178,152.0,152.0,-6.559564504884586,-6.559564504884586,98.32236842105263,206.13815789473685,489829.0,3222.559210526316,120533.0,792.9802631578947,,1813.3157894736842,7.384599341247817,-1.5075907280247218,0.9158673138971727,3.130938276861456,-9.527678771118355,-1.4472977253149377,0.6467313717549906,2.2394477852895536,,,,,,,,,,,,,,,0.2637356907588506,-0.3402742418256555,,,,-0.18844884100309023,-0.18091221566436722,,,,1.713842437335179,1.7258124328730629,,0.0,,,,,,489829.0,3222.559210526316,120533.0,792.9802631578947,7.384599341247817,-1.5075907280247218,0.9158673138971727,3.130938276861456,-9.527678771118355,-1.4472977253149377,0.6467313717549906,2.2394477852895536,,,,,,,,,,,,,1.713842437335179,1.7258124328730629,,4.456810142386066,4.456810142386066,5.833768809833178,6.721686459367447,1.0,,-1.0,marRAB
11,12.0,12.0,12.0,1.0,1.0,0.0,,,0.0,24.0,24.0,6.1939389566303715,6.1939389566303715,149.0,149.0,10.632308236897103,10.632308236897103,97.87248322147651,119.02013422818791,680578.0,4567.637583892618,116421.0,781.3489932885906,,1851.6912751677853,9.637269961304174,-0.4378382197657964,1.183556974154516,4.256368514916225,-6.1617463672371935,-0.6367661461637186,1.2934734211700296,4.203136343102525,,,,,,,,,,,,,,,0.3706642292809298,-0.2369902448937382,,,,-0.048648691085088486,-0.07075179401819096,,,,1.8071600737564932,1.6221780255456917,,0.0,,,,,,680578.0,4567.637583892618,116421.0,781.3489932885906,9.637269961304174,-0.4378382197657964,1.183556974154516,4.256368514916225,-6.1617463672371935,-0.6367661461637186,1.2934734211700296,4.203136343102525,,,,,,,,,,,,,1.8071600737564932,1.6221780255456917,,3.874755655173019,3.874755655173019,6.0259660139865145,7.213973522186279,1.0,,-1.0,marRAB
12,13.0,13.0,13.0,1.0,1.0,0.0,,,0.0,24.0,24.0,5.741952006380578,5.741952006380578,138.0,138.0,8.375374365757205,8.375374365757205,103.6304347826087,135.94927536231884,325257.0,2356.9347826086955,110653.0,801.8333333333334,,1894.268115942029,4.74937647996467,0.06195775047531585,0.37036347229890504,1.2614126523564746,-10.807860767377761,-1.018541577011428,0.5713878904114423,1.1731269099860437,,,,,,,,,,,,,,,0.1826683261524873,-0.41568695259145233,,,,0.007744718809414481,-0.1273176971264285,,,,1.6960862644052805,1.0008093741961965,,0.0,,,,,,325257.0,2356.9347826086955,110653.0,801.8333333333334,4.74937647996467,0.06195775047531585,0.37036347229890504,1.2614126523564746,-10.807860767377761,-1.018541577011428,0.5713878904114423,1.1731269099860437,,,,,,,,,,,,,1.6960862644052805,1.0008093741961965,,4.179763253564414,4.179763253564414,5.741952006380578,7.010922749837239,1.0,,-1.0,marRAB
13,14.0,14.0,14.0,1.0,1.0,0.0,,,0.0,39.0,39.0,6.215363875938459,6.215363875938459,243.0,243.0,45.11402570880221,45.11402570880221,127.29629629629629,382.67489711934155,863089.0,3551.80658436214,198676.0,817.59670781893,,1833.4156378600824,-13.66356734234454,-1.2869719249146376,0.965743123580054,3.1253400673130196,16.47197295770814,-1.0963307198354961,0.6942353002816037,2.4363962881952017,,,,,,,,,,,,,,,-0.3415891835586135,0.41179932394270347,,,,-0.12869719249146377,-0.10963307198354962,,,,1.6612883837784471,1.763063053522285,,0.0,,,,,,863089.0,3551.80658436214,198676.0,817.59670781893,-13.66356734234454,-1.2869719249146376,0.965743123580054,3.1253400673130196,16.47197295770814,-1.0963307198354961,0.6942353002816037,2.4363962881952017,,,,,,,,,,,,,1.6612883837784471,1.763063053522285,,6.274773412861751,6.274773412861751,6.160500236558012,7.212647732882033,1.0,,-1.0,marRAB
14,15.0,15.0,15.0,1.0,1.0,0.0,,,0.0,36.0,36.0,5.994222743208082,5.994222743208082,216.0,216.0,42.23897724604182,42.23897724604182,126.29166666666667,60.532407407407405,459295.0,2126.365740740741,165213.0,764.875,,1825.0462962962963,14.9559548083019,-1.0510696260552077,0.30807743418732547,1.0727168288307882,-12.448491528590031,-1.3455572333517107,0.2788551084360759,1.068007306167581,5.178433437182242,-3.5506230280558135,0.33577349027818304,0.5348607645895009,-2.646337829055045,0.23239970498405493,0.32405190025151825,0.49420732114908206,7.89829237931458,-1.9394197977948378,0.2511608319779379,0.37497669950001666,,,0.3935777581132079,-0.3275918823313166,0.1362745641363748,-0.06964046918565908,0.20784979945564686,-0.11678551400613418,-0.14950635926130118,-0.3945136697839793,0.02582218944267277,-0.21549108864387087,1.7141988661303513,1.8509264601767985,0.7979199333414309,0.0,,,,,,459295.0,2126.365740740741,165213.0,764.875,14.9559548083019,-1.0510696260552077,0.30807743418732547,1.0727168288307882,-12.448491528590031,-1.3455572333517107,0.2788551084360759,1.068007306167581,5.178433437182242,-3.5506230280558135,0.33577349027818304,0.5348607645895009,-2.646337829055045,0.23239970498405493,0.32405190025151825,0.49420732114908206,7.89829237931458,-1.9394197977948378,0.2511608319779379,0.37497669950001666,1.7141988661303513,1.8509264601767985,0.7979199333414309,6.005782824936024,6.005782824936024,5.1304702747499205,6.548982482358345,1.0,,43.0,marRAB
15,16.0,16.0,16.0,1.0,1.0,0.0,,,0.0,26.0,26.0,6.299686595998283,6.299686595998283,165.0,165.0,24.29292608903394,24.29292608903394,128.13939393939393,222.70909090909092,529956.0,3211.8545454545456,132394.0,802.3878787878788,,1806.7515151515152,-7.928189529151673,-1.1476963768952397,0.7450292882631336,2.6590630667687494,9.51462037587524,-1.014990813536775,0.7375624945603028,2.635523676575114,3.671061849108839,-3.873320023410967,0.518641114409218,0.9757492938836243,,,,,,,,,,,-0.2831496260411312,0.3398078705669728,0.1311093517538871,,,-0.12752181965502662,-0.11277675705964166,-0.43036889149010743,,,1.7699037872954968,1.798371192089666,0.8918607189580119,0.0,,,,,,529956.0,3211.8545454545456,132394.0,802.3878787878788,-7.928189529151673,-1.1476963768952397,0.7450292882631336,2.6590630667687494,9.51462037587524,-1.014990813536775,0.7375624945603028,2.635523676575114,3.671061849108839,-3.873320023410967,0.518641114409218,0.9757492938836243,,,,,,,,,1.7699037872954968,1.798371192089666,0.8918607189580119,4.127189440902638,4.127189440902638,6.299686595998283,7.068166691671574,1.0,,53.0,marRAB
16,17.0,17.0,17.0,1.0,1.0,0.0,,,0.0,29.0,29.0,5.3102813298751474,5.3102813298751474,154.0,154.0,7.300302781572865,7.300302781572865,131.30519480519482,133.2987012987013,885733.0,5751.512987012987,119853.0,778.2662337662338,,1983.6038961038962,-8.924780045351506,-0.7704452799807604,1.3277245994170204,3.93283848862424,11.795843281221144,-1.0111837200947522,1.2900648967660275,3.593675920789223,,,,,,,,,,,,,,,-0.28789613049520985,0.38051107358777886,,,,-0.09630565999759505,-0.12639796501184403,,,,1.4708172820068637,1.4106288721685485,,0.0,,,,,,885733.0,5751.512987012987,119853.0,778.2662337662338,-8.924780045351506,-0.7704452799807604,1.3277245994170204,3.93283848862424,11.795843281221144,-1.0111837200947522,1.2900648967660275,3.593675920789223,,,,,,,,,,,,,1.4708172820068637,1.4106288721685485,,5.461104261435021,5.461104261435021,5.3102813298751474,5.954764459527117,1.0,,-1.0,marRAB
17,18.0,18.0,18.0,1.0,1.0,0.0,,,0.0,21.0,21.0,6.03557568091633,6.03557568091633,127.0,127.0,-24.66851190893735,-24.66851190893735,134.21259842519686,31.598425196850393,328005.0,2582.716535433071,96927.0,763.2047244094488,,1828.4724409448818,-4.524809955720071,-1.2168691749121778,0.4658122367813331,1.579031320752927,7.281923495492468,-1.349189948505067,0.350562794531179,1.1757088250395709,,,,,,,,,,,,,,,-0.1967308676400031,0.3166053693692378,,,,-0.1352076861013531,-0.14990999427834076,,,,1.705718375520571,1.6908069141388071,,0.0,,,,,,328005.0,2582.716535433071,96927.0,763.2047244094488,-4.524809955720071,-1.2168691749121778,0.4658122367813331,1.579031320752927,7.281923495492468,-1.349189948505067,0.350562794531179,1.1757088250395709,,,,,,,,,,,,,1.705718375520571,1.6908069141388071,,3.4793698414550818,3.4793698414550818,6.03557568091633,7.020130382345239,1.0,,9.0,marRAB
18,19.0,19.0,19.0,1.0,1.0,0.0,,,0.0,38.0,38.0,6.026435870410554,6.026435870410554,229.0,229.0,44.96333463543267,44.96333463543267,142.17903930131004,328.85589519650654,1038065.0,4533.034934497817,185902.0,811.7991266375545,,1913.524017467249,-12.500811137428045,-0.8776391059141311,1.495381322380645,4.569498321325567,15.581938964603381,-1.13825915960137,1.2598860751448846,4.012604420892141,,,,,,,,,,,,,,,-0.3205336189084114,0.39953689652829183,,,,-0.08776391059141311,-0.113825915960137,,,,1.5446961296967243,1.6185241360329576,,0.0,,,,,,1038065.0,4533.034934497817,185902.0,811.7991266375545,-12.500811137428045,-0.8776391059141311,1.495381322380645,4.569498321325567,15.581938964603381,-1.13825915960137,1.2598860751448846,4.012604420892141,,,,,,,,,,,,,1.5446961296967243,1.6185241360329576,,6.30555121088698,6.30555121088698,5.71344410278986,6.753868666075202,1.0,,32.0,marRAB
19,20.0,20.0,20.0,1.0,1.0,0.0,,,0.0,25.0,25.0,4.707540635022228,4.707540635022228,118.0,118.0,-18.833199833175712,-18.833199833175712,136.97457627118644,137.22881355932202,537313.0,4553.5,92662.0,785.271186440678,,1971.5,-6.6423517183588086,-0.40211711142031414,1.1936962627097205,3.3505429642421776,11.81621739497265,-0.299960128917073,0.9195777840059121,1.6852944344957796,,,,,,,,,,,,,,,-0.2554750660907234,0.4544698998066404,,,,-0.05026463892753927,-0.03749501611463413,,,,1.3976093752530954,0.9034869733996023,,0.0,,,,,,537313.0,4553.5,92662.0,785.271186440678,-6.6423517183588086,-0.40211711142031414,1.1936962627097205,3.3505429642421776,11.81621739497265,-0.299960128917073,0.9195777840059121,1.6852944344957796,,,,,,,,,,,,,1.3976093752530954,0.9034869733996023,,5.310628614442529,5.310628614442529,4.700174946189311,5.7179524640453865,1.0,,-1.0,marRAB
